,id,caption,createTime,likeCount,shareCount,commentCount,viewCount
0,6888171695702543622,#foryoupage,2020-10-27 05:45:54,7700000,147700,326600,34300000
1,6888085541628300550,IF UR READING THIS DO UR HOMEWORK,2020-10-27 00:10:22,4300000,14600,113800,20700000
2,6888052878213172485,,2020-10-26 22:03:38,2600000,17700,48100,12200000
3,6888052144298118405,,2020-10-26 22:00:48,2600000,19800,34200,13300000
4,6887297929476902150,#duet with @addisonre  @gwenythryan,2020-10-24 21:14:11,7500000,50100,91000,43200000
5,6887289633277775110,,2020-10-24 20:42:00,2800000,28400,43000,17600000
6,6887269230023118085,kay.yyla13,2020-10-24 19:22:49,3200000,37200,58900,20200000
7,6887262345031159045,,2020-10-24 18:56:10,3000000,13800,43600,15500000
8,6886891487812963589,,2020-10-23 18:57:05,3000000,6534,44100,16100000
9,6886890490067832069,,2020-10-23 18:53:17,2800000,12400,45900,16300000
10,6885817984263245061,#duet with @addisonre,2020-10-20 21:30:57,3600000,24600,82500,22400000
11,6885524775595298053,,2020-10-20 02:33:33,5200000,61100,41300,36700000
12,6884738601008090374,#ColorCustomizer,2020-10-17 23:42:43,5100000,38000,91800,32600000
13,6884734661923245317,#TimeWarpScan,2020-10-17 23:27:19,8000000,20900,96000,51300000
14,6884675909777902854,I got it from my momma. We're both wearing our favorite Mom Jeans from @americaneagle . Check them out at www.ae.com! #AEJeans #AEPartner,2020-10-17 19:39:27,3000000,6493,33300,20900000
15,6883713445808606470,#아웃웨스트챌린지,2020-10-15 05:25:45,4500000,52400,89400,30000000
16,6883685086697442565,@billboard 2night @tdfw.shot,2020-10-15 03:34:45,6100000,76700,90400,38300000
17,6883597972379159813,@tdfw.shot I shall do this again but when I know it better and didn’t just hop out the shower 🥶🤭😬😈👏🏼,2020-10-14 21:56:28,4200000,34100,38100,29000000
18,6883203985205988613,@patrickta,2020-10-13 20:27:34,2700000,21200,54000,20000000
19,6882416889264344325,@kourtneykardashian @simonhuck,2020-10-11 17:33:20,5400000,19300,59200,37300000
20,6882061857499254022,,2020-10-10 18:35:30,15500000,141700,152000,113700000
21,6880656169346649350,@sherinicolee,2020-10-06 23:40:40,9600000,69800,168100,71400000
22,6880654985122663686,@savvysharp,2020-10-06 23:36:01,4400000,70700,57300,37100000
23,6880633783704423686,,2020-10-06 22:13:49,3900000,28700,73500,32100000
24,6880631025232366853,,2020-10-06 22:03:07,6400000,20000,191300,48400000
25,6880271503183580422,,2020-10-05 22:47:57,8300000,93200,288900,62400000
26,6880236846115327237,TOMORROW,2020-10-05 20:33:33,5200000,19600,64200,32800000
27,6879859012263824645,,2020-10-04 20:07:17,3700000,32700,70600,29200000
28,6879152671886953733,fav candy what is it!!!!,2020-10-02 22:26:20,4200000,30700,95100,29400000
29,6878674072063020293,i was nominated for a people’s choice award what is life omg dc @yodamnmomma,2020-10-01 15:29:30,7300000,66800,148900,48200000
30,6878409259646733574,,2020-09-30 22:21:30,5200000,25100,113200,38000000
31,6878380084542196998,#ColorCustomizer,2020-09-30 20:28:18,2600000,16100,46300,24000000
32,6878308592689155334,talking to the canyon @sherinicolee,2020-09-30 15:51:07,3800000,25700,62500,27100000
33,6878025511713459461,@itzjusterica,2020-09-29 21:32:19,4000000,49700,56500,28700000
34,6877633985363725573,,2020-09-28 20:13:06,6500000,124200,106900,46900000
35,6877614734405848325,,2020-09-28 18:58:23,10100000,61200,146100,65100000
36,6877591319485680901,@nexttojer,2020-09-28 17:27:40,4500000,35800,54100,30500000
37,6876960323367177478,@officialharryhudson,2020-09-27 00:38:50,4000000,45300,63900,30000000
38,6876878705071770886,,2020-09-26 19:22:10,10300000,60500,92600,64600000
39,6876870116299050246,#duet with @addisonre  if I saw this on my fyp rn I would delete this app immediately,2020-09-26 18:47:52,5700000,6855,42400,35000000
40,6876869543998901510,,2020-09-26 18:46:45,3700000,27600,47500,23400000
41,6876463021066046725,had to because of my nails,2020-09-25 16:29:29,3100000,20000,49600,23100000
42,6876192230655282438,@jlo @papijuancho   #PaTiChallenge #PaTiLonely #tiktokpartner,2020-09-24 22:58:24,3300000,40600,48900,27200000
43,6876181363758861573,@nexttojer,2020-09-24 22:16:08,3800000,44500,36100,27600000
44,6875835004606237957,@sherinicolee,2020-09-23 23:52:04,8500000,66300,74700,70000000
45,6875830832846671110,@janeciajanel,2020-09-23 23:35:57,4600000,58500,38300,33400000
46,6875826373294853381,,2020-09-23 23:18:36,6100000,68900,62900,39300000
47,6875809878208826629,@hypek3ndrick,2020-09-23 22:14:38,3300000,45500,43700,25100000
48,6875775079712705798,,2020-09-23 19:59:40,3200000,9967,30200,21200000
49,6875772332321852677,thanks for sharing all ur looks! tag @itembeauty  to be featured 🧡 @mar.0319  @albinaudo @_shairuh  @slaywithbrookeee  @dipwad,2020-09-23 19:49:02,1400000,2700,8701,14900000
